Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.492015, 0.432891, 0.462453, 0.240939, 0.537547, 0.051396, 0.515993, 4145.000000, 22953.000000, 23698.000000, 3164.000000, "protected_div(Dim[i][121], Dim[i][112])"
1, 0.492015, 0.432891, 0.462453, 0.240939, 0.537547, 0.051396, 0.515993, 4145.000000, 22953.000000, 23698.000000, 3164.000000, "protected_div(Dim[i][121], Dim[i][112])"
2, 0.441362, 0.441921, 0.441642, 0.255113, 0.558358, 0.080177, 0.558562, 4079.000000, 20590.000000, 26061.000000, 3230.000000, "protected_div(Dim[i][121], Dim[i][75])"
3, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
4, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
5, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
6, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
7, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
8, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
9, 0.283660, 0.503352, 0.393506, 0.300348, 0.606494, 0.157246, 0.686583, 3630.000000, 13233.000000, 33418.000000, 3679.000000, "protected_div(Dim[i][2], sin((Dim[i][92]+ifLessThan(Dim[i][66], Dim[i][9], ((Dim[i][69])), Dim[i][83]))))"
