Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.545863, 0.385589, 0.465726, 0.295612, 0.534274, 0.052652, 0.482466, 6020.000000, 24911.000000, 20725.000000, 3778.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][88])"
1, 0.545863, 0.385589, 0.465726, 0.295612, 0.534274, 0.052652, 0.482466, 6020.000000, 24911.000000, 20725.000000, 3778.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][88])"
2, 0.545863, 0.385589, 0.465726, 0.295612, 0.534274, 0.052652, 0.482466, 6020.000000, 24911.000000, 20725.000000, 3778.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][88])"
3, 0.548974, 0.382935, 0.465955, 0.295670, 0.534045, 0.052338, 0.480373, 6046.000000, 25053.000000, 20583.000000, 3752.000000, "(sin(protected_log(Dim[i][9]))*Dim[i][92])"
4, 0.548974, 0.382935, 0.465955, 0.295670, 0.534045, 0.052338, 0.480373, 6046.000000, 25053.000000, 20583.000000, 3752.000000, "(sin(protected_log(Dim[i][9]))*Dim[i][92])"
5, 0.548974, 0.382935, 0.465955, 0.295670, 0.534045, 0.052338, 0.480373, 6046.000000, 25053.000000, 20583.000000, 3752.000000, "(sin(protected_log(Dim[i][9]))*Dim[i][18])"
6, 0.544504, 0.385487, 0.464996, 0.296105, 0.535004, 0.053760, 0.483602, 6021.000000, 24849.000000, 20787.000000, 3777.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][43])"
7, 0.545863, 0.385589, 0.465726, 0.295612, 0.534274, 0.052652, 0.482466, 6020.000000, 24911.000000, 20725.000000, 3778.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][88])"
8, 0.544504, 0.385487, 0.464996, 0.296105, 0.535004, 0.053760, 0.483602, 6021.000000, 24849.000000, 20787.000000, 3777.000000, "(sin(protected_log(Dim[i][9]))-Dim[i][43])"
9, 0.426703, 0.497551, 0.462127, 0.287945, 0.537873, 0.058208, 0.560775, 4923.000000, 19473.000000, 26163.000000, 4875.000000, "(Dim[i][80]-Dim[i][65])"
10, 0.469585, 0.455501, 0.462543, 0.291825, 0.537457, 0.057186, 0.532904, 5335.000000, 21430.000000, 24206.000000, 4463.000000, "sin(((Dim[i][50]*ifLessThan(Dim[i][29], Dim[i][66], protected_div((Dim[i][80]-Dim[i][33]), Dim[i][81]), Dim[i][30]))))"
11, 0.426703, 0.497551, 0.462127, 0.287945, 0.537873, 0.058208, 0.560775, 4923.000000, 19473.000000, 26163.000000, 4875.000000, "(Dim[i][80]-Dim[i][65])"
12, 0.426703, 0.497551, 0.462127, 0.287945, 0.537873, 0.058208, 0.560775, 4923.000000, 19473.000000, 26163.000000, 4875.000000, "(Dim[i][80]-Dim[i][65])"
13, 0.511811, 0.249030, 0.380421, 0.363241, 0.619579, 0.183535, 0.534636, 7358.000000, 23357.000000, 22279.000000, 2440.000000, "sin(protected_log(ifLessThan(protected_log(Dim[i][9]), ((Dim[i][55])*(Dim[i][2])), Dim[i][93], Dim[i][84])))"
14, 0.518341, 0.237702, 0.378021, 0.365036, 0.621979, 0.187541, 0.531262, 7469.000000, 23655.000000, 21981.000000, 2329.000000, "sin(protected_log(ifLessThan(protected_log(Dim[i][9]), (protected_log(Dim[i][9])-Dim[i][88]), (((Dim[i][116]))), Dim[i][93])))"
