Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin(Dim[i][8])"
1, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin(Dim[i][8])"
2, 0.585318, 0.216895, 0.401106, 0.282129, 0.598894, 0.138454, 0.464215, 6452.000000, 31047.000000, 21996.000000, 1787.000000, "(Dim[i][108]-(Dim[i][46]))"
3, 0.248440, 0.634664, 0.441552, 0.246449, 0.558448, 0.090447, 0.699634, 3010.000000, 13178.000000, 39865.000000, 5229.000000, "sin(Dim[i][113])"
4, 0.302604, 0.605413, 0.454008, 0.236084, 0.545992, 0.067552, 0.656685, 3251.000000, 16051.000000, 36992.000000, 4988.000000, "sin(Dim[i][8])"
5, 0.632958, 0.163491, 0.398224, 0.283010, 0.601776, 0.146616, 0.430159, 6892.000000, 33574.000000, 19469.000000, 1347.000000, "(((Dim[i][0])*(Dim[i][71]+sin(((Dim[i][97]))))))"
6, 0.585318, 0.216895, 0.401106, 0.282129, 0.598894, 0.138454, 0.464215, 6452.000000, 31047.000000, 21996.000000, 1787.000000, "(Dim[i][108]-(Dim[i][46]))"
7, 0.585318, 0.216895, 0.401106, 0.282129, 0.598894, 0.138454, 0.464215, 6452.000000, 31047.000000, 21996.000000, 1787.000000, "(Dim[i][108]-(Dim[i][46]))"
8, 0.632958, 0.163491, 0.398224, 0.283010, 0.601776, 0.146616, 0.430159, 6892.000000, 33574.000000, 19469.000000, 1347.000000, "((Dim[i][0])*(Dim[i][71]+sin(((Dim[i][97])))))"
9, 0.321268, 0.460250, 0.390759, 0.299189, 0.609241, 0.156193, 0.660047, 4447.000000, 17041.000000, 36002.000000, 3792.000000, "protected_sqrt(ifLessThan(sin(Dim[i][37]), Dim[i][77], protected_div(Dim[i][71], Dim[i][33]), Dim[i][60]))"
10, 0.332033, 0.454303, 0.393168, 0.296306, 0.606832, 0.151779, 0.651529, 4496.000000, 17612.000000, 35431.000000, 3743.000000, "protected_sqrt(ifLessThan(sin(Dim[i][37]), Dim[i][77], protected_div(Dim[i][71], Dim[i][33]), Dim[i][74]))"
11, 0.308014, 0.448113, 0.378063, 0.312251, 0.621937, 0.175519, 0.673150, 4547.000000, 16338.000000, 36705.000000, 3692.000000, "ifLessThan(Dim[i][16], Dim[i][103], Dim[i][18], sin((((Dim[i][112]-Dim[i][42])))))"
12, 0.292253, 0.450055, 0.371154, 0.320529, 0.628846, 0.187401, 0.686531, 4531.000000, 15502.000000, 37541.000000, 3708.000000, "sin((Dim[i][112]-(Dim[i][2])))"
13, 0.279057, 0.471538, 0.375297, 0.317868, 0.624703, 0.183540, 0.695065, 4354.000000, 14802.000000, 38241.000000, 3885.000000, "sin((Dim[i][112]-(Dim[i][72])))"
14, 0.321268, 0.460250, 0.390759, 0.299189, 0.609241, 0.156193, 0.660047, 4447.000000, 17041.000000, 36002.000000, 3792.000000, "protected_sqrt(ifLessThan(sin(Dim[i][37]), Dim[i][77], protected_div(Dim[i][71], Dim[i][33]), Dim[i][60]))"
15, 0.314632, 0.369341, 0.341986, 0.344974, 0.658014, 0.224994, 0.678013, 5196.000000, 16689.000000, 36354.000000, 3043.000000, "ifLessThan(Dim[i][16], Dim[i][103], Dim[i][18], sin((((Dim[i][112]-sin(Dim[i][37]))))))"
16, 0.413608, 0.329409, 0.371508, 0.309498, 0.628492, 0.176279, 0.597712, 5525.000000, 21939.000000, 31104.000000, 2714.000000, "(((Dim[i][0])*(Dim[i][71]+(Dim[i][77]+sin(Dim[i][98])))))"
17, 0.292253, 0.450055, 0.371154, 0.320529, 0.628846, 0.187401, 0.686531, 4531.000000, 15502.000000, 37541.000000, 3708.000000, "sin((Dim[i][112]-(Dim[i][2])))"
18, 0.413608, 0.329409, 0.371508, 0.309498, 0.628492, 0.176279, 0.597712, 5525.000000, 21939.000000, 31104.000000, 2714.000000, "(((Dim[i][0])*(Dim[i][71]+(Dim[i][77]+sin(Dim[i][98])))))"
19, 0.254605, 0.456973, 0.355789, 0.341292, 0.644211, 0.216092, 0.718188, 4474.000000, 13505.000000, 39538.000000, 3765.000000, "sin((Dim[i][112]-sin((Dim[i][112]-(Dim[i][71])))))"
20, 0.263975, 0.448962, 0.356468, 0.339046, 0.643532, 0.213174, 0.711155, 4540.000000, 14002.000000, 39041.000000, 3699.000000, "(Dim[i][73]+sin((Dim[i][112]-sin((Dim[i][112]-(Dim[i][71]))))))"
21, 0.314632, 0.369341, 0.341986, 0.344974, 0.658014, 0.224994, 0.678013, 5196.000000, 16689.000000, 36354.000000, 3043.000000, "ifLessThan(Dim[i][16], Dim[i][103], Dim[i][18], sin((((Dim[i][112]-sin(Dim[i][37]))))))"
22, 0.254605, 0.456973, 0.355789, 0.341292, 0.644211, 0.216092, 0.718188, 4474.000000, 13505.000000, 39538.000000, 3765.000000, "sin((Dim[i][112]-sin((Dim[i][112]-(Dim[i][71])))))"
23, 0.312595, 0.369341, 0.340968, 0.346215, 0.659032, 0.226694, 0.679775, 5196.000000, 16581.000000, 36462.000000, 3043.000000, "protected_log((protected_div(Dim[i][18], sin((((Dim[i][112]-sin(Dim[i][37]))))))))"
