Generation, FPR, 1 - TPR, 1 - AUC, F1, BA, MCC, Accuracy, TP, FP, TN, FN, Phenotype
0, 0.510705, 0.453926, 0.482315, 0.260854, 0.517685, 0.026081, 0.498497, 5209.000000, 25190.000000, 24134.000000, 4330.000000, "protected_div(Dim[i][106], protected_div((Dim[i][43]), Dim[i][121]))"
1, 0.446416, 0.335465, 0.390940, 0.334538, 0.609060, 0.160861, 0.571564, 6339.000000, 22019.000000, 27305.000000, 3200.000000, "(Dim[i][95]-ifLessThan(Dim[i][58], Dim[i][86], ((Dim[i][4]*Dim[i][64])), Dim[i][106]))"
2, 0.446416, 0.335465, 0.390940, 0.334538, 0.609060, 0.160861, 0.571564, 6339.000000, 22019.000000, 27305.000000, 3200.000000, "(Dim[i][95]-ifLessThan(Dim[i][58], Dim[i][86], ((Dim[i][4]*Dim[i][64])), Dim[i][106]))"
3, 0.511049, 0.451410, 0.481230, 0.261787, 0.518770, 0.027684, 0.498615, 5233.000000, 25207.000000, 24117.000000, 4306.000000, "protected_div(Dim[i][88], (Dim[i][121]))"
4, 0.492924, 0.453507, 0.473215, 0.266889, 0.526785, 0.039481, 0.513463, 5213.000000, 24313.000000, 25011.000000, 4326.000000, "protected_div(Dim[i][0], (((Dim[i][121]))))"
5, 0.446416, 0.335465, 0.390940, 0.334538, 0.609060, 0.160861, 0.571564, 6339.000000, 22019.000000, 27305.000000, 3200.000000, "(Dim[i][95]-ifLessThan(Dim[i][58], Dim[i][86], ((Dim[i][4]*Dim[i][64])), Dim[i][106]))"
6, 0.446416, 0.335465, 0.390940, 0.334538, 0.609060, 0.160861, 0.571564, 6339.000000, 22019.000000, 27305.000000, 3200.000000, "(Dim[i][95]-ifLessThan(Dim[i][58], Dim[i][86], ((Dim[i][4]*Dim[i][64])), Dim[i][106]))"
7, 0.541035, 0.388091, 0.464563, 0.277543, 0.535437, 0.052525, 0.483750, 5837.000000, 26686.000000, 22638.000000, 3702.000000, "(Dim[i][118]-ifLessThan(Dim[i][105], Dim[i][105], protected_div(Dim[i][90], Dim[i][79]), Dim[i][83]))"
8, 0.446416, 0.335465, 0.390940, 0.334538, 0.609060, 0.160861, 0.571564, 6339.000000, 22019.000000, 27305.000000, 3200.000000, "(Dim[i][95]-ifLessThan(Dim[i][58], Dim[i][86], ((Dim[i][4]*Dim[i][64])), Dim[i][106]))"
9, 0.446132, 0.335150, 0.390641, 0.334794, 0.609359, 0.161305, 0.571853, 6342.000000, 22005.000000, 27319.000000, 3197.000000, "(ifLessThan(Dim[i][4], Dim[i][113], ifLessThan(Dim[i][106], Dim[i][20], Dim[i][96], sin(Dim[i][49])), Dim[i][5])-Dim[i][52])"
